areaCode,areaName,areaType,date,cumVaccinationThirdInjectionUptakeByPublishDatePercentage
W92000004,Wales,nation,2022-11-02,75.6
W92000004,Wales,nation,2022-11-01,75.6
W92000004,Wales,nation,2022-10-31,75.6
W92000004,Wales,nation,2022-10-30,75.5
W92000004,Wales,nation,2022-10-29,75.5
W92000004,Wales,nation,2022-10-28,75.5
W92000004,Wales,nation,2022-10-27,75.5
W92000004,Wales,nation,2022-10-26,75.5
W92000004,Wales,nation,2022-10-25,75.5
W92000004,Wales,nation,2022-10-24,75.5
W92000004,Wales,nation,2022-10-23,75.5
W92000004,Wales,nation,2022-10-22,75.5
W92000004,Wales,nation,2022-10-21,75.5
W92000004,Wales,nation,2022-10-20,75.5
W92000004,Wales,nation,2022-10-19,75.5
W92000004,Wales,nation,2022-10-18,75.5
W92000004,Wales,nation,2022-10-17,75.5
W92000004,Wales,nation,2022-10-16,75.5
W92000004,Wales,nation,2022-10-15,75.5
W92000004,Wales,nation,2022-10-14,75.5
W92000004,Wales,nation,2022-10-13,75.4
W92000004,Wales,nation,2022-10-12,75.4
W92000004,Wales,nation,2022-10-11,75.4
W92000004,Wales,nation,2022-10-10,75.4
W92000004,Wales,nation,2022-10-09,75.4
W92000004,Wales,nation,2022-10-08,75.4
W92000004,Wales,nation,2022-10-07,75.4
W92000004,Wales,nation,2022-10-06,75.4
W92000004,Wales,nation,2022-10-05,75.4
W92000004,Wales,nation,2022-10-04,75.4
W92000004,Wales,nation,2022-10-03,75.4
W92000004,Wales,nation,2022-10-02,75.4
W92000004,Wales,nation,2022-10-01,75.4
W92000004,Wales,nation,2022-09-30,75.4
W92000004,Wales,nation,2022-09-29,75.4
W92000004,Wales,nation,2022-09-28,75.4
W92000004,Wales,nation,2022-09-27,75.4
W92000004,Wales,nation,2022-09-26,75.3
W92000004,Wales,nation,2022-09-25,75.3
W92000004,Wales,nation,2022-09-24,75.3
W92000004,Wales,nation,2022-09-23,75.3
W92000004,Wales,nation,2022-09-22,75.3
W92000004,Wales,nation,2022-09-21,75.3
W92000004,Wales,nation,2022-09-20,75.3
W92000004,Wales,nation,2022-09-19,75.3
W92000004,Wales,nation,2022-09-18,75.3
W92000004,Wales,nation,2022-09-17,75.3
W92000004,Wales,nation,2022-09-16,75.3
W92000004,Wales,nation,2022-09-15,75.3
W92000004,Wales,nation,2022-09-14,75.3
W92000004,Wales,nation,2022-09-13,75.3
W92000004,Wales,nation,2022-09-12,75.3
W92000004,Wales,nation,2022-09-11,75.3
W92000004,Wales,nation,2022-09-10,75.3
W92000004,Wales,nation,2022-09-09,75.3
W92000004,Wales,nation,2022-09-08,75.3
W92000004,Wales,nation,2022-09-07,75.2
W92000004,Wales,nation,2022-09-06,75.2
W92000004,Wales,nation,2022-09-05,75.2
W92000004,Wales,nation,2022-09-04,75.2
W92000004,Wales,nation,2022-09-03,75.2
W92000004,Wales,nation,2022-09-02,75.2
W92000004,Wales,nation,2022-09-01,75.2
W92000004,Wales,nation,2022-08-31,75.2
W92000004,Wales,nation,2022-08-30,75.2
W92000004,Wales,nation,2022-08-29,75.2
W92000004,Wales,nation,2022-08-28,75.2
W92000004,Wales,nation,2022-08-27,75.2
W92000004,Wales,nation,2022-08-26,75.2
W92000004,Wales,nation,2022-08-25,75.2
W92000004,Wales,nation,2022-08-24,75.2
W92000004,Wales,nation,2022-08-23,75.2
W92000004,Wales,nation,2022-08-22,75.2
W92000004,Wales,nation,2022-08-21,75.2
W92000004,Wales,nation,2022-08-20,75.2
W92000004,Wales,nation,2022-08-19,75.2
W92000004,Wales,nation,2022-08-18,75.1
W92000004,Wales,nation,2022-08-17,75.1
W92000004,Wales,nation,2022-08-16,75.1
W92000004,Wales,nation,2022-08-15,75.1
W92000004,Wales,nation,2022-08-14,75.1
W92000004,Wales,nation,2022-08-13,75.1
W92000004,Wales,nation,2022-08-12,75.1
W92000004,Wales,nation,2022-08-11,75.1
W92000004,Wales,nation,2022-08-10,75.1
W92000004,Wales,nation,2022-08-09,75.1
W92000004,Wales,nation,2022-08-08,75.1
W92000004,Wales,nation,2022-08-07,75.1
W92000004,Wales,nation,2022-08-06,75.1
W92000004,Wales,nation,2022-08-05,75.0
W92000004,Wales,nation,2022-08-04,75.0
W92000004,Wales,nation,2022-08-03,75.0
W92000004,Wales,nation,2022-08-02,75.0
W92000004,Wales,nation,2022-08-01,75.0
W92000004,Wales,nation,2022-07-31,75.0
W92000004,Wales,nation,2022-07-30,75.0
W92000004,Wales,nation,2022-07-29,75.0
W92000004,Wales,nation,2022-07-28,75.0
W92000004,Wales,nation,2022-07-27,75.0
W92000004,Wales,nation,2022-07-26,75.0
W92000004,Wales,nation,2022-07-25,75.0
W92000004,Wales,nation,2022-07-24,74.9
W92000004,Wales,nation,2022-07-23,74.9
W92000004,Wales,nation,2022-07-22,74.9
W92000004,Wales,nation,2022-07-21,74.9
W92000004,Wales,nation,2022-07-20,74.9
W92000004,Wales,nation,2022-07-19,74.9
W92000004,Wales,nation,2022-07-18,74.9
W92000004,Wales,nation,2022-07-17,74.9
W92000004,Wales,nation,2022-07-16,74.9
W92000004,Wales,nation,2022-07-15,74.9
W92000004,Wales,nation,2022-07-14,74.8
W92000004,Wales,nation,2022-07-13,74.8
W92000004,Wales,nation,2022-07-12,74.8
W92000004,Wales,nation,2022-07-11,74.8
W92000004,Wales,nation,2022-07-10,74.8
W92000004,Wales,nation,2022-07-09,74.8
W92000004,Wales,nation,2022-07-08,74.8
W92000004,Wales,nation,2022-07-07,74.7
W92000004,Wales,nation,2022-07-06,74.7
W92000004,Wales,nation,2022-07-05,74.7
W92000004,Wales,nation,2022-07-04,74.7
W92000004,Wales,nation,2022-07-03,74.7
W92000004,Wales,nation,2022-07-02,74.6
W92000004,Wales,nation,2022-07-01,74.6
W92000004,Wales,nation,2022-06-30,74.6
W92000004,Wales,nation,2022-06-29,74.6
W92000004,Wales,nation,2022-06-28,74.6
W92000004,Wales,nation,2022-06-27,74.6
W92000004,Wales,nation,2022-06-26,74.5
W92000004,Wales,nation,2022-06-25,74.5
W92000004,Wales,nation,2022-06-24,74.5
W92000004,Wales,nation,2022-06-23,74.5
W92000004,Wales,nation,2022-06-22,74.5
W92000004,Wales,nation,2022-06-21,74.5
W92000004,Wales,nation,2022-06-20,74.4
W92000004,Wales,nation,2022-06-19,74.4
W92000004,Wales,nation,2022-06-18,74.4
W92000004,Wales,nation,2022-06-17,74.4
W92000004,Wales,nation,2022-06-16,74.4
W92000004,Wales,nation,2022-06-15,74.4
W92000004,Wales,nation,2022-06-14,74.4
W92000004,Wales,nation,2022-06-13,74.3
W92000004,Wales,nation,2022-06-12,74.3
W92000004,Wales,nation,2022-06-11,74.3
W92000004,Wales,nation,2022-06-10,74.3
W92000004,Wales,nation,2022-06-09,74.3
W92000004,Wales,nation,2022-06-08,74.3
W92000004,Wales,nation,2022-06-07,74.3
W92000004,Wales,nation,2022-06-06,74.2
W92000004,Wales,nation,2022-06-05,74.2
W92000004,Wales,nation,2022-06-04,74.2
W92000004,Wales,nation,2022-06-03,74.2
W92000004,Wales,nation,2022-06-02,74.2
W92000004,Wales,nation,2022-06-01,74.2
W92000004,Wales,nation,2022-05-31,74.2
W92000004,Wales,nation,2022-05-30,74.2
W92000004,Wales,nation,2022-05-29,74.2
W92000004,Wales,nation,2022-05-28,74.1
W92000004,Wales,nation,2022-05-27,74.1
W92000004,Wales,nation,2022-05-26,74.1
W92000004,Wales,nation,2022-05-25,74.1
W92000004,Wales,nation,2022-05-24,74.1
W92000004,Wales,nation,2022-05-23,74.1
W92000004,Wales,nation,2022-05-22,74.0
W92000004,Wales,nation,2022-05-21,74.0
W92000004,Wales,nation,2022-05-20,74.0
W92000004,Wales,nation,2022-05-19,74.0
W92000004,Wales,nation,2022-05-18,73.9
W92000004,Wales,nation,2022-05-17,73.9
W92000004,Wales,nation,2022-05-16,73.9
W92000004,Wales,nation,2022-05-15,73.9
W92000004,Wales,nation,2022-05-14,73.9
W92000004,Wales,nation,2022-05-13,73.9
W92000004,Wales,nation,2022-05-12,73.8
W92000004,Wales,nation,2022-05-11,73.8
W92000004,Wales,nation,2022-05-10,73.8
W92000004,Wales,nation,2022-05-09,73.8
W92000004,Wales,nation,2022-05-08,73.8
W92000004,Wales,nation,2022-05-07,73.7
W92000004,Wales,nation,2022-05-06,73.7
W92000004,Wales,nation,2022-05-05,73.7
W92000004,Wales,nation,2022-05-04,73.7
W92000004,Wales,nation,2022-05-03,73.6
W92000004,Wales,nation,2022-05-02,73.6
W92000004,Wales,nation,2022-05-01,73.6
W92000004,Wales,nation,2022-04-30,73.6
W92000004,Wales,nation,2022-04-29,73.6
W92000004,Wales,nation,2022-04-28,73.6
W92000004,Wales,nation,2022-04-27,73.5
W92000004,Wales,nation,2022-04-26,73.5
W92000004,Wales,nation,2022-04-25,73.4
W92000004,Wales,nation,2022-04-24,73.4
W92000004,Wales,nation,2022-04-23,73.4
W92000004,Wales,nation,2022-04-22,73.4
W92000004,Wales,nation,2022-04-21,73.3
W92000004,Wales,nation,2022-04-20,73.3
W92000004,Wales,nation,2022-04-19,73.2
W92000004,Wales,nation,2022-04-18,73.2
W92000004,Wales,nation,2022-04-17,73.2
W92000004,Wales,nation,2022-04-16,73.2
W92000004,Wales,nation,2022-04-15,73.2
W92000004,Wales,nation,2022-04-14,73.2
W92000004,Wales,nation,2022-04-13,73.1
W92000004,Wales,nation,2022-04-12,73.1
W92000004,Wales,nation,2022-04-11,73.1
W92000004,Wales,nation,2022-04-10,73.0
W92000004,Wales,nation,2022-04-09,73.0
W92000004,Wales,nation,2022-04-08,73.0
W92000004,Wales,nation,2022-04-07,73.0
W92000004,Wales,nation,2022-04-06,72.9
W92000004,Wales,nation,2022-04-05,72.9
W92000004,Wales,nation,2022-04-04,72.9
W92000004,Wales,nation,2022-04-03,72.8
W92000004,Wales,nation,2022-04-02,72.8
W92000004,Wales,nation,2022-04-01,72.8
W92000004,Wales,nation,2022-03-31,72.8
W92000004,Wales,nation,2022-03-30,72.7
W92000004,Wales,nation,2022-03-29,72.7
W92000004,Wales,nation,2022-03-28,72.7
W92000004,Wales,nation,2022-03-27,72.6
W92000004,Wales,nation,2022-03-26,72.6
W92000004,Wales,nation,2022-03-25,72.6
W92000004,Wales,nation,2022-03-24,72.6
W92000004,Wales,nation,2022-03-23,72.5
W92000004,Wales,nation,2022-03-22,72.5
W92000004,Wales,nation,2022-03-21,72.4
W92000004,Wales,nation,2022-03-20,72.4
W92000004,Wales,nation,2022-03-19,72.4
W92000004,Wales,nation,2022-03-18,72.4
W92000004,Wales,nation,2022-03-17,72.3
W92000004,Wales,nation,2022-03-16,72.3
