areaCode,areaName,areaType,Area_km2,Population,Pop_per_km2,Median_age
E06000047,County Durham,Unitary Authority,2226,533149,240,43.1
E06000005,Darlington,Unitary Authority,197,107402,544,43.2
E06000001,Hartlepool,Unitary Authority,94,93836,1001,41.6
E06000002,Middlesbrough,Unitary Authority,54,141285,2622,36.2
E06000057,Northumberland,Unitary Authority,5020,323820,65,48.8
E06000003,Redcar and Cleveland,Unitary Authority,245,137228,560,45.3
E06000004,Stockton-on-Tees,Unitary Authority,205,197419,963,41
E11000007,Tyne and Wear (Met County),Metropolitan County,540,1146624,2123,39.7
E08000037,Gateshead,Metropolitan District,142,201950,1419,41.5
E08000021,Newcastle upon Tyne,Metropolitan District,113,306824,2704,32.1
E08000022,North Tyneside,Metropolitan District,82,208871,2537,43.3
E08000023,South Tyneside,Metropolitan District,64,151133,2346,43.2
E08000024,Sunderland,Metropolitan District,137,277846,2022,42.1
E12000002,NORTH WEST,Region,14108,7367456,522,40.3
E06000008,Blackburn with Darwen,Unitary Authority,137,150030,1095,36.6
E06000009,Blackpool,Unitary Authority,35,138381,3968,43.5
E06000049,Cheshire East,Unitary Authority,1166,386667,332,46.6
E06000050,Cheshire West and Chester,Unitary Authority,920,343823,374,44.6
E06000006,Halton,Unitary Authority,79,129759,1641,41
E06000007,Warrington,Unitary Authority,181,209397,1159,42.6
E10000006,Cumbria,County,6768,499781,74,48.3
E07000026,Allerdale,Non-metropolitan District,1242,97831,79,48.6
E07000027,Barrow-in-Furness,Non-metropolitan District,78,66726,857,45
E07000028,Carlisle,Non-metropolitan District,1038,108524,105,45.3
E07000029,Copeland,Non-metropolitan District,732,68041,93,47.3
E07000030,Eden,Non-metropolitan District,2142,53754,25,51.3
E07000031,South Lakeland,Non-metropolitan District,1535,104905,68,51.6
E11000001,Greater Manchester (Met County),Metropolitan County,1276,2848286,2232,37.2
E08000001,Bolton,Metropolitan District,140,288248,2062,38.9
E08000002,Bury,Metropolitan District,99,190708,1917,40.4
E08000003,Manchester,Metropolitan District,116,555741,4805,30.3
E08000004,Oldham,Metropolitan District,142,237628,1669,37.3
E08000005,Rochdale,Metropolitan District,158,223659,1414,38.2
E08000006,Salford,Metropolitan District,97,262697,2703,34.7
E08000007,Stockport,Metropolitan District,126,294197,2334,42.3
