areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-10-30,Other,116415.0,14.8
E12000001,North East,region,2022-10-30,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-10-30,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-10-30,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-10-30,V-22OCT-01 (Omicron BQ.1),116415.0,32.4
E12000001,North East,region,2022-10-30,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-10-30,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-10-30,VOC-22APR-04 (Omicron BA.5),116415.0,51.6
E12000001,North East,region,2022-10-30,VOC-22JAN-01 (Omicron BA.2),116415.0,1.1
E12000001,North East,region,2022-10-23,Other,116233.0,15.8
E12000001,North East,region,2022-10-23,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-10-23,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-10-23,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-10-23,V-22OCT-01 (Omicron BQ.1),116233.0,35.0
E12000001,North East,region,2022-10-23,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-10-23,VOC-22APR-03 (Omicron BA.4),116233.0,0.4
E12000001,North East,region,2022-10-23,VOC-22APR-04 (Omicron BA.5),116233.0,48.8
E12000001,North East,region,2022-10-23,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-10-16,Other,115993.0,13.9
E12000001,North East,region,2022-10-16,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-10-16,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-10-16,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-10-16,V-22OCT-01 (Omicron BQ.1),115993.0,22.8
E12000001,North East,region,2022-10-16,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-10-16,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-10-16,VOC-22APR-04 (Omicron BA.5),115993.0,62.3
E12000001,North East,region,2022-10-16,VOC-22JAN-01 (Omicron BA.2),115993.0,1.1
E12000001,North East,region,2022-10-09,Other,115712.0,10.6
E12000001,North East,region,2022-10-09,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-10-09,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-10-09,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-10-09,V-22OCT-01 (Omicron BQ.1),115712.0,26.8
E12000001,North East,region,2022-10-09,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-10-09,VOC-22APR-03 (Omicron BA.4),115712.0,0.8
E12000001,North East,region,2022-10-09,VOC-22APR-04 (Omicron BA.5),115712.0,61.7
