areaCode,areaName,areaType,date,cumVaccinationSecondDoseUptakeByPublishDatePercentage
W92000004,Wales,nation,2022-11-02,89.6
W92000004,Wales,nation,2022-11-01,89.6
W92000004,Wales,nation,2022-10-31,89.6
W92000004,Wales,nation,2022-10-30,89.6
W92000004,Wales,nation,2022-10-29,89.6
W92000004,Wales,nation,2022-10-28,89.6
W92000004,Wales,nation,2022-10-27,89.6
W92000004,Wales,nation,2022-10-26,89.6
W92000004,Wales,nation,2022-10-25,89.6
W92000004,Wales,nation,2022-10-24,89.6
W92000004,Wales,nation,2022-10-23,89.6
W92000004,Wales,nation,2022-10-22,89.6
W92000004,Wales,nation,2022-10-21,89.5
W92000004,Wales,nation,2022-10-20,89.5
W92000004,Wales,nation,2022-10-19,89.5
W92000004,Wales,nation,2022-10-18,89.5
W92000004,Wales,nation,2022-10-17,89.5
W92000004,Wales,nation,2022-10-16,89.5
W92000004,Wales,nation,2022-10-15,89.5
W92000004,Wales,nation,2022-10-14,89.5
W92000004,Wales,nation,2022-10-13,89.5
W92000004,Wales,nation,2022-10-12,89.5
W92000004,Wales,nation,2022-10-11,89.4
W92000004,Wales,nation,2022-10-10,89.4
W92000004,Wales,nation,2022-10-09,89.4
W92000004,Wales,nation,2022-10-08,89.4
W92000004,Wales,nation,2022-10-07,89.4
W92000004,Wales,nation,2022-10-06,89.4
W92000004,Wales,nation,2022-10-05,89.4
W92000004,Wales,nation,2022-10-04,89.4
W92000004,Wales,nation,2022-10-03,89.4
W92000004,Wales,nation,2022-10-02,89.4
W92000004,Wales,nation,2022-10-01,89.4
W92000004,Wales,nation,2022-09-30,89.4
W92000004,Wales,nation,2022-09-29,89.4
W92000004,Wales,nation,2022-09-28,89.4
W92000004,Wales,nation,2022-09-27,89.4
W92000004,Wales,nation,2022-09-26,89.4
W92000004,Wales,nation,2022-09-25,89.4
W92000004,Wales,nation,2022-09-24,89.3
W92000004,Wales,nation,2022-09-23,89.3
W92000004,Wales,nation,2022-09-22,89.3
W92000004,Wales,nation,2022-09-21,89.3
W92000004,Wales,nation,2022-09-20,89.3
W92000004,Wales,nation,2022-09-19,89.3
W92000004,Wales,nation,2022-09-18,89.3
