areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2022-12-12,124
E40000003,London,nhsRegion,2022-12-11,112
E40000003,London,nhsRegion,2022-12-10,71
E40000003,London,nhsRegion,2022-12-09,83
E40000003,London,nhsRegion,2022-12-08,92
E40000003,London,nhsRegion,2022-12-07,122
E40000003,London,nhsRegion,2022-12-06,105
E40000003,London,nhsRegion,2022-12-05,122
E40000003,London,nhsRegion,2022-12-04,68
E40000003,London,nhsRegion,2022-12-03,69
E40000003,London,nhsRegion,2022-12-02,77
E40000003,London,nhsRegion,2022-12-01,75
E40000003,London,nhsRegion,2022-11-30,82
E40000003,London,nhsRegion,2022-11-29,80
E40000003,London,nhsRegion,2022-11-28,85
E40000003,London,nhsRegion,2022-11-27,63
E40000003,London,nhsRegion,2022-11-26,45
E40000003,London,nhsRegion,2022-11-25,55
E40000003,London,nhsRegion,2022-11-24,61
E40000003,London,nhsRegion,2022-11-23,88
E40000003,London,nhsRegion,2022-11-22,93
E40000003,London,nhsRegion,2022-11-21,67
E40000003,London,nhsRegion,2022-11-20,57
E40000003,London,nhsRegion,2022-11-19,48
E40000003,London,nhsRegion,2022-11-18,62
E40000003,London,nhsRegion,2022-11-17,63
E40000003,London,nhsRegion,2022-11-16,83
E40000003,London,nhsRegion,2022-11-15,79
E40000003,London,nhsRegion,2022-11-14,65
E40000003,London,nhsRegion,2022-11-13,51
E40000003,London,nhsRegion,2022-11-12,51
E40000003,London,nhsRegion,2022-11-11,59
E40000003,London,nhsRegion,2022-11-10,59
E40000003,London,nhsRegion,2022-11-09,65
E40000003,London,nhsRegion,2022-11-08,78
E40000003,London,nhsRegion,2022-11-07,66
E40000003,London,nhsRegion,2022-11-06,65
E40000003,London,nhsRegion,2022-11-05,52
E40000003,London,nhsRegion,2022-11-04,70
E40000003,London,nhsRegion,2022-11-03,72
E40000003,London,nhsRegion,2022-11-02,89
E40000003,London,nhsRegion,2022-11-01,80
E40000003,London,nhsRegion,2022-10-31,71
E40000003,London,nhsRegion,2022-10-30,76
E40000003,London,nhsRegion,2022-10-29,66
E40000003,London,nhsRegion,2022-10-28,67
E40000003,London,nhsRegion,2022-10-27,94
E40000003,London,nhsRegion,2022-10-26,109
E40000003,London,nhsRegion,2022-10-25,111
E40000003,London,nhsRegion,2022-10-24,93
E40000003,London,nhsRegion,2022-10-23,96
E40000003,London,nhsRegion,2022-10-22,77
E40000003,London,nhsRegion,2022-10-21,125
E40000003,London,nhsRegion,2022-10-20,105
E40000003,London,nhsRegion,2022-10-19,114
E40000003,London,nhsRegion,2022-10-18,127
E40000003,London,nhsRegion,2022-10-17,111
E40000003,London,nhsRegion,2022-10-16,114
E40000003,London,nhsRegion,2022-10-15,102
E40000003,London,nhsRegion,2022-10-14,100
E40000003,London,nhsRegion,2022-10-13,155
E40000003,London,nhsRegion,2022-10-12,113
E40000003,London,nhsRegion,2022-10-11,126
E40000003,London,nhsRegion,2022-10-10,133
E40000003,London,nhsRegion,2022-10-09,107
E40000003,London,nhsRegion,2022-10-08,92
E40000003,London,nhsRegion,2022-10-07,108
E40000003,London,nhsRegion,2022-10-06,111
E40000003,London,nhsRegion,2022-10-05,113
E40000003,London,nhsRegion,2022-10-04,126
E40000003,London,nhsRegion,2022-10-03,118
E40000003,London,nhsRegion,2022-10-02,120
E40000003,London,nhsRegion,2022-10-01,119
E40000003,London,nhsRegion,2022-09-30,80
E40000003,London,nhsRegion,2022-09-29,116
E40000003,London,nhsRegion,2022-09-28,103
E40000003,London,nhsRegion,2022-09-27,82
E40000003,London,nhsRegion,2022-09-26,96
