"","country_region_code","country_region","sub_region_1","sub_region_2","metro_area","place_id","areaCode"
"1","GB","United Kingdom","","",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ",NA
"322","GB","United Kingdom","Aberdeen City","",NA,"ChIJs6qVe2kRhEgRkLBCBhpoDAM","S12000033"
"643","GB","United Kingdom","Aberdeenshire","",NA,"ChIJ1deuZ9h_g0gRB-LNSfT9NVA","S12000034"
"964","GB","United Kingdom","Angus Council","",NA,"ChIJG0UKe3kqhEgRsxEd27rxlSg","S12000041"
"1279","GB","United Kingdom","Antrim and Newtownabbey","",NA,"ChIJ-QsErn2rYUgR-WEb8k5G8Bw",NA
"1597","GB","United Kingdom","Ards and North Down","",NA,"ChIJZUDzJ452YUgRrifX_btxxMY",NA
"1915","GB","United Kingdom","Argyll and Bute Council","",NA,"ChIJ_14lA-YtikgRsLBCBhpoDAM","S12000035"
"2230","GB","United Kingdom","Armagh City, Banbridge and Craigavon","",NA,"ChIJRW_g5EzvYEgR0_NWY2pfPB4",NA
"2551","GB","United Kingdom","Bath and North East Somerset","",NA,"ChIJNczQRnmIcUgREKCZ1COLDQM","E06000022"
"2869","GB","United Kingdom","Bedford","",NA,"ChIJpQ1uuWG3d0gREKjDu6gcDgM","E06000055"
"3190","GB","United Kingdom","Belfast","",NA,"ChIJfTP03VUIYUgRgBotirI_DwM",NA
"3511","GB","United Kingdom","Blackburn with Darwen","",NA,"ChIJrb426zyge0gRgKBv7Z75DAM","E06000008"
"3829","GB","United Kingdom","Blackpool","",NA,"ChIJcyRdsZxDe0gRcKBv7Z75DAM","E06000009"
"4150","GB","United Kingdom","Blaenau Gwent","",NA,"ChIJaas2DhEmbkgRIbLKMOJN2wQ","W06000019"
"4464","GB","United Kingdom","Borough of Halton","",NA,"ChIJ3wUNUpviekgRUKBv7Z75DAM","E06000006"
"4779","GB","United Kingdom","Bracknell Forest","",NA,"ChIJzX-3DTl-dkgRMEztoi2uDgQ","E06000036"
"5094","GB","United Kingdom","Bridgend County Borough","",NA,"ChIJucvfFVtpbkgRIKKZ1COLDQM","W06000013"
"5411","GB","United Kingdom","Brighton and Hove","",NA,"ChIJfRLCXYeFdUgRsJ7toi2uDgM","E06000043"
