"date","nhs_region","variant","cases"
2020-02-02,"North West","Unclassified",1
2020-02-03,"East of England","Unclassified",3
2020-02-03,"London","Unclassified",1
2020-02-03,"North East and Yorkshire","Unclassified",1
2020-02-03,"South East","Unclassified",5
2020-02-03,"South West","Unclassified",3
2020-02-05,"South East","Unclassified",1
2020-02-08,"South East","Unclassified",1
2020-02-09,"South East","Unclassified",1
2020-02-11,"London","Unclassified",1
2020-02-12,"Midlands","Unclassified",1
2020-02-21,"London","VUI-22JAN-01",1
2020-02-23,"London","Unclassified",1
2020-02-24,"London","Unclassified",1
2020-02-24,"South East","Unclassified",1
2020-02-25,"Midlands","Unclassified",1
2020-02-27,"South East","Unclassified",2
2020-02-28,"East of England","Unclassified",1
2020-02-28,"Midlands","Unclassified",1
2020-02-28,"North East and Yorkshire","Unclassified",2
2020-02-28,"North West","Unclassified",1
2020-02-28,"South East","Unclassified",1
2020-02-29,"London","Unclassified",1
2020-02-29,"Midlands","Unclassified",1
2020-03-01,"East of England","Unclassified",1
2020-03-01,"London","Unclassified",2
2020-03-01,"Midlands","Unclassified",1
2020-03-01,"North East and Yorkshire","Unclassified",1
2020-03-01,"North West","Unclassified",5
2020-03-01,"South West","Unclassified",1
2020-03-02,"London","Unclassified",12
2020-03-02,"Midlands","Unclassified",3
2020-03-02,"North East and Yorkshire","Unclassified",4
2020-03-02,"North West","Unclassified",6
2020-03-02,"South East","Unclassified",1
2020-03-02,"South West","Unclassified",7
2020-03-03,"East of England","Unclassified",8
2020-03-03,"London","Unclassified",6
2020-03-03,"Midlands","Unclassified",2
2020-03-03,"North East and Yorkshire","Unclassified",4
2020-03-03,"North West","Unclassified",5
2020-03-03,"South East","Unclassified",7
2020-03-03,"South West","Unclassified",8
2020-03-04,"East of England","Unclassified",7
2020-03-04,"London","Unclassified",8
2020-03-04,"Midlands","Unclassified",2
2020-03-04,"North East and Yorkshire","Unclassified",2
2020-03-04,"North West","Unclassified",2
2020-03-04,"South East","Unclassified",3
2020-03-04,"South West","Unclassified",5
2020-03-05,"London","Unclassified",6
2020-03-05,"Midlands","Unclassified",3
2020-03-05,"North East and Yorkshire","Unclassified",3
2020-03-05,"North West","Unclassified",9
2020-03-05,"South East","Unclassified",1
2020-03-05,"South West","Unclassified",3
2020-03-06,"East of England","Unclassified",6
2020-03-06,"London","Unclassified",17
2020-03-06,"Midlands","Unclassified",5
2020-03-06,"North East and Yorkshire","Unclassified",2
2020-03-06,"North West","Unclassified",2
2020-03-06,"South East","Unclassified",6
2020-03-06,"South West","Unclassified",7
2020-03-07,"East of England","Unclassified",3
2020-03-07,"London","Unclassified",8
2020-03-07,"Midlands","Unclassified",5
2020-03-07,"North East and Yorkshire","Unclassified",2
2020-03-07,"North West","Unclassified",5
2020-03-07,"South East","Unclassified",2
2020-03-07,"South West","Unclassified",2
2020-03-08,"East of England","Unclassified",2
2020-03-08,"London","Unclassified",19
2020-03-08,"Midlands","Unclassified",1
2020-03-08,"North West","Unclassified",3
2020-03-08,"South East","Unclassified",2
2020-03-08,"South West","Unclassified",3
2020-03-09,"East of England","Unclassified",4
2020-03-09,"London","Unclassified",42
2020-03-09,"Midlands","Unclassified",1
2020-03-09,"North East and Yorkshire","Unclassified",5
2020-03-09,"North West","Unclassified",6
2020-03-09,"South East","Unclassified",7
2020-03-09,"South West","Unclassified",5
2020-03-10,"East of England","Unclassified",13
2020-03-10,"London","Unclassified",52
2020-03-10,"Midlands","Unclassified",7
2020-03-10,"North East and Yorkshire","Unclassified",7
2020-03-10,"North West","Unclassified",13
2020-03-10,"South East","Unclassified",4
2020-03-10,"South West","Unclassified",10
2020-03-11,"East of England","Unclassified",12
2020-03-11,"London","Unclassified",72
2020-03-11,"Midlands","Unclassified",19
2020-03-11,"North East and Yorkshire","Unclassified",1
2020-03-11,"North West","Unclassified",13
2020-03-11,"South East","Unclassified",5
2020-03-11,"South West","Unclassified",6
2020-03-12,"East of England","Unclassified",14
2020-03-12,"London","Unclassified",64
2020-03-12,"Midlands","Unclassified",18
2020-03-12,"Midlands","Undetermined",1
2020-03-12,"North East and Yorkshire","Unclassified",6
2020-03-12,"North West","Unclassified",33
2020-03-12,"South East","Unclassified",9
2020-03-12,"South West","Unclassified",8
2020-03-13,"East of England","Unclassified",27
2020-03-13,"London","Unclassified",32
2020-03-13,"Midlands","Unclassified",13
2020-03-13,"North East and Yorkshire","Unclassified",11
2020-03-13,"North West","Unclassified",25
2020-03-13,"South East","Unclassified",4
2020-03-13,"South West","Unclassified",8
2020-03-14,"East of England","Unclassified",7
2020-03-14,"London","Unclassified",22
2020-03-14,"Midlands","Unclassified",6
2020-03-14,"North East and Yorkshire","Unclassified",10
2020-03-14,"North West","Unclassified",19
2020-03-14,"South East","Unclassified",2
2020-03-14,"South West","Unclassified",7
2020-03-15,"East of England","Unclassified",24
2020-03-15,"London","Unclassified",31
2020-03-15,"Midlands","Unclassified",4
2020-03-15,"North East and Yorkshire","Unclassified",7
2020-03-15,"North West","Unclassified",15
2020-03-15,"South East","Unclassified",1
2020-03-15,"South West","Unclassified",3
2020-03-16,"East of England","Unclassified",11
2020-03-16,"London","Unclassified",28
2020-03-16,"Midlands","Unclassified",4
2020-03-16,"North East and Yorkshire","Unclassified",8
2020-03-16,"North West","Unclassified",32
