"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sqrtQ",0.259158623688288,0.000116632689677212,0.0197459928041063,0.224338151103351,0.245289012016229,0.257889270853417,0.271596655021598,0.301614070253359,28662.7177271566,0.999682504980793
"susc_scaling",0.504994402435536,0.00134459537218665,0.132410509616187,0.288987806858479,0.409385955819194,0.489018717979782,0.584724456827232,0.811521151011917,9697.54245946182,1.00089516874191
"betas[1]",-0.0293933625396067,0.00136443714450696,0.06055226614918,-0.14956651480393,-0.069528464379123,-0.0284657386373829,0.0118669375623441,0.0879091995065504,1969.48979377202,1.0059640991146
"beta_random_walk_steps[1]",-0.0629471369678613,0.00182210901727672,0.254320729745587,-0.555877061786756,-0.237740090720612,-0.0651771735741122,0.107845254820596,0.443401556137766,19481.1597373764,0.999818127524401
"beta_random_walk_steps[2]",-0.152417182973484,0.000158911199723732,0.0270577439957824,-0.205934907172159,-0.170560833338874,-0.152151984266885,-0.134239117982906,-0.099393906065651,28991.7315052914,0.999662949057052
"beta_random_walk_steps[3]",0.119207417916003,0.000168751721581931,0.0293754296094109,0.0606993959613479,0.0998737522541471,0.119178102686762,0.138608549945127,0.176864120184439,30302.0513142533,0.999439125129833
"beta_random_walk_steps[4]",-0.00768841260613137,0.000179897640095853,0.0315656156730653,-0.070769968624169,-0.0289960574875043,-0.00754082471524452,0.0134718943317717,0.0535270568197825,30787.7248309345,0.999425999206866
"beta_random_walk_steps[5]",0.0586619116843937,0.000198127752905548,0.0335683934150592,-0.0062708811863492,0.0354588449700475,0.0585136210526733,0.0814298545969897,0.124562480854151,28705.8548730867,0.999726978361161
"beta_random_walk_steps[6]",-0.0943160533230023,0.000221852025956403,0.0364972827175198,-0.166002067731469,-0.118777394555937,-0.0946494277080832,-0.0696702828757097,-0.0224994127229094,27064.1421183311,0.999830881855162
"beta_random_walk_steps[7]",0.0688467717215317,0.0002422280887491,0.0389992868019446,-0.00711477207288698,0.0427786769693753,0.0690084391850599,0.0951348507191624,0.144678553180193,25921.7504274664,0.999578823745092
"beta_random_walk_steps[8]",0.345899510796057,0.00024941875743152,0.0399044190610769,0.267551896136546,0.318787232149579,0.346114894394881,0.372980524695905,0.423928130359856,25596.6872811572,0.999507002503145
"beta_random_walk_steps[9]",-0.0311800782767309,0.000222534690233097,0.0382246106206083,-0.106453553788376,-0.0570326806886448,-0.0310805811616109,-0.00520474456354812,0.0432603953871193,29504.6656438651,0.999670127797038
"beta_random_walk_steps[10]",0.0528656188089488,0.000215548882146174,0.0366838544039221,-0.0189034050543343,0.0277174932798084,0.0530453634224472,0.0776148432139873,0.12454605634659,28963.9888989393,0.999473604476302
"beta_random_walk_steps[11]",-0.0349588852868571,0.000215546497381199,0.0349746848747723,-0.103461712140493,-0.0585145653092261,-0.0353090627910348,-0.0117904522132417,0.0349889785957725,26328.473528504,0.999578214986922
"beta_random_walk_steps[12]",-0.00102357473610169,0.000207078522318374,0.0337766127263632,-0.0682641104317563,-0.0236954286443138,-0.000893482233677637,0.0216186442941588,0.0639712769640265,26604.927159913,0.999551654590046
