"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sqrtQ",0.259357387902135,0.00012100999425184,0.0194029744370419,0.224451127552559,0.245769911943782,0.258213739393976,0.271673892787152,0.300801852572687,25709.5303009724,0.999954120560986
"susc_scaling",0.508960483096426,0.00132378020976705,0.135101243169979,0.288345137431567,0.411140512553817,0.493494491931976,0.592411839048125,0.822164447766449,10415.6630587477,1.00077614489252
"betas[1]",0.124318761193125,0.00163659350650556,0.0576595423447796,0.00940832040944672,0.0860178642321436,0.124469010505697,0.162587837188965,0.238170148015383,1241.2542101633,1.01295674953226
"beta_random_walk_steps[1]",-0.0665502041078554,0.00189100519787666,0.25922109595761,-0.56869671195362,-0.246064309997455,-0.0695438833927352,0.110452874420152,0.451215355132132,18791.2313592055,0.999495595758296
"beta_random_walk_steps[2]",-0.15242380897442,0.000168157471869328,0.027612705769309,-0.20601684169449,-0.170617095138249,-0.152649469571409,-0.133987363680293,-0.0971920267281556,26964.0790484109,0.999517416775183
"beta_random_walk_steps[3]",0.119400120175556,0.000187489343479746,0.0299868435244212,0.0600260785356837,0.0994050586576376,0.119582454720207,0.139464526262953,0.178246461225681,25580.4588418084,0.999862527257256
"beta_random_walk_steps[4]",-0.00772955889708605,0.00019825904765043,0.0317323257657277,-0.0704991688353386,-0.028886215561141,-0.00781161116636257,0.013671902226524,0.0539920882979575,25617.5608742074,0.999481581860496
"beta_random_walk_steps[5]",0.0580905650354695,0.000211377038418781,0.0339523166106367,-0.00936956462167844,0.03560281344256,0.0580137277869741,0.0810631180019709,0.124799412034816,25800.2079680507,0.999493451841476
"beta_random_walk_steps[6]",-0.0936247774114758,0.000235843175853837,0.0369661965452202,-0.166452174945812,-0.118920632548989,-0.0936663240057126,-0.0682703670465599,-0.0211343633544023,24567.6099143232,0.999813365774
"beta_random_walk_steps[7]",0.0682939676590495,0.000253437213424098,0.0399651005559044,-0.0100810727355711,0.0417487940758082,0.0685802737377526,0.0953016536973962,0.145946511326047,24866.8657918182,0.99954407445408
"beta_random_walk_steps[8]",0.346216779720344,0.000253815142625569,0.0402877725441122,0.267715163329141,0.31940409251854,0.346238557341677,0.373022870148434,0.426302335752396,25194.8313657515,0.99949363615234
"beta_random_walk_steps[9]",-0.0311811124193237,0.000232959875029814,0.0381764959114266,-0.106598380012711,-0.0569828576040873,-0.0309891937335081,-0.00578411635962562,0.0430107063405473,26855.2919270378,0.999839772608086
"beta_random_walk_steps[10]",0.0530480861451519,0.000225071427197127,0.036352213095931,-0.0198066061487116,0.0288189522073951,0.0529169305650566,0.0772770685207729,0.124334495630716,26086.8103781697,0.999746047741273
"beta_random_walk_steps[11]",-0.0348513864294717,0.000211358371152777,0.0347187407998899,-0.103485909295202,-0.0583771518265035,-0.0347236077698082,-0.0117203448325653,0.033253304410233,26982.9248830013,0.999816459732386
"beta_random_walk_steps[12]",-0.00142633908963195,0.000204240531759962,0.0332889720627955,-0.0662824444120844,-0.0243225914440706,-0.00124451015842984,0.0216557405823782,0.0624191265913496,26565.4333243058,0.999358928927439
"beta_random_walk_steps[13]",0.0781790649811874,0.000199240997348136,0.0318650451503688,0.015835782362,0.0568051314061455,0.0781939893549479,0.0997854698589587,0.140175250108166,25578.2991478318,0.99938050690567
"beta_random_walk_steps[14]",-0.125359116741346,0.000190159377091174,0.0305900956111629,-0.185868123921303,-0.146066141704492,-0.125399143971266,-0.104529098418731,-0.0660158696938676,25877.7299610524,0.999659269424602
"beta_random_walk_steps[15]",0.0858862239400049,0.000181659972365471,0.0293521962656006,0.0292145419394597,0.0660581195114022,0.0858546408645096,0.105617630982273,0.143731924343727,26107.3455746849,0.999657405932526
"beta_random_walk_steps[16]",0.485648629273562,0.000163419664343532,0.026795654649414,0.433212385617503,0.467765086854159,0.485722594697011,0.50352069367239,0.538604437626131,26885.6236735815,0.999727521513665
"beta_random_walk_steps[17]",-0.469631092891825,0.000153321314900182,0.0249456016791225,-0.518216034084482,-0.486420463139262,-0.469558827391537,-0.452676008151465,-0.420562327955275,26471.7648648609,0.999800055368525
"beta_random_walk_steps[18]",-0.209227186477735,0.000148651158151149,0.0242390832092472,-0.255922453564579,-0.226125972440916,-0.20907476067847,-0.192655507779025,-0.1620905003064,26588.6192388069,0.999860931510272
"beta_random_walk_steps[19]",0.51307541511953,0.000146425953031486,0.0239342782317749,0.466919685815953,0.496721788116686,0.512900392575648,0.529107774657183,0.560695913841937,26718.0373052554,0.999553644314968
"beta_random_walk_steps[20]",0.154037722917692,0.000139367848560703,0.0224295615083064,0.110088949086001,0.1389694871408,0.154106470937219,0.169265232593878,0.19810523266811,25900.9906430126,0.999579181018204
"beta_random_walk_steps[21]",-0.223407231221148,0.000134514486596123,0.0212302689347102,-0.265074169999691,-0.237832383243394,-0.223169854889974,-0.208787400200635,-0.181794048362463,24909.9510711416,0.9996814974473
"beta_random_walk_steps[22]",-0.287318698521801,0.000123007186443573,0.020658245556614,-0.328481612230315,-0.301269060267084,-0.287169558947232,-0.273346423696231,-0.247145105882476,28204.9868073473,0.999520234197433
"beta_random_walk_steps[23]",0.190722502884945,0.00012293523716779,0.0206270583374796,0.150111798161942,0.176934260139999,0.190757247411729,0.204577900294006,0.230783425648069,28152.8150283164,0.999359933770359
"beta_random_walk_steps[24]",-0.25540732276127,0.000124526916995535,0.0203024426581282,-0.295251795729043,-0.2689664286621,-0.255426470569894,-0.241709977237888,-0.215556284206907,26580.9264003752,0.999345391908606
"beta_random_walk_steps[25]",0.0688883379965482,0.000118081871276596,0.0200069014370345,0.0295024800704666,0.0554332803777718,0.0689085396621616,0.0824273851354223,0.108379200441766,28707.3570818092,0.999631447373258
"beta_random_walk_steps[26]",0.0188706959557196,0.000122308443380358,0.0201030061173324,-0.0204929736700802,0.00513713417592535,0.0188359196994637,0.0325118323677785,0.0587034834383565,27015.2587629065,0.999627984751791
"beta_random_walk_steps[27]",-0.437835561453738,0.000124630583288259,0.0199820086373739,-0.476765215363168,-0.451587350209252,-0.437802085570129,-0.42406323775339,-0.399487215092594,25705.6760153851,0.999419392978408
"beta_random_walk_steps[28]",-0.00847541679514211,0.000126558185064793,0.0201830725549366,-0.0485484589132196,-0.022201001493929,-0.00817725384855395,0.00521277236936475,0.0309986024170198,25432.7947648498,0.999625149264646
"beta_random_walk_steps[29]",0.288606775053319,0.000128667177056042,0.0198360880956535,0.249592146343125,0.275148045392469,0.288541942808789,0.302082423514866,0.327358959428068,23767.1174003975,0.999616624162411
