"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sqrtQ",0.259394596297026,0.000120667362849139,0.0196405799546495,0.224592048522056,0.245669025321235,0.258185087325231,0.271471753586285,0.301933268078701,26492.8678031282,0.999426632107109
"susc_scaling",0.506919309750046,0.00151422307338347,0.13624626834213,0.28837680222992,0.409325553059266,0.489575810323392,0.588168479296287,0.822188703176516,8095.9816142719,1.00156718421406
"betas[1]",-0.00150912926539167,0.00136969285481797,0.0589421008497392,-0.115484779403643,-0.0414579912836093,-0.0019149915058081,0.0376568062802767,0.114382293148921,1851.84588964171,1.00293124064132
"beta_random_walk_steps[1]",-0.0663308974687056,0.00208319249087756,0.261258743429646,-0.571478891338425,-0.246269629298715,-0.0672107319086752,0.107717168777309,0.450081208751193,15728.3391239552,1.00013940169107
"beta_random_walk_steps[2]",-0.152432678257888,0.000165839257182446,0.0272234263399774,-0.206217044332097,-0.170790574526438,-0.152486337508843,-0.133833068763843,-0.0999696632911125,26947.0284921793,0.999555518082593
"beta_random_walk_steps[3]",0.119098074800602,0.00018790017767782,0.0293860193217037,0.0612196121873477,0.0992727862148306,0.119047829906087,0.138802450121841,0.176988652631506,24458.3490209967,0.999537921026175
"beta_random_walk_steps[4]",-0.00743481264957742,0.000200813159423321,0.0317868026354402,-0.0704657970247993,-0.0290223170270945,-0.00713352919489234,0.0138612684064265,0.0545540952338497,25055.8622485449,0.999328392590821
"beta_random_walk_steps[5]",0.058198221460967,0.000210809840496454,0.033573014693483,-0.0077120012019602,0.0355323131744569,0.0580958004804793,0.0805404770587653,0.125309124773959,25362.9007218955,0.999582138223334
"beta_random_walk_steps[6]",-0.0937832477999291,0.000231391964498749,0.0366365510452391,-0.166394850354201,-0.117785934385355,-0.0932599913891323,-0.0698193775377986,-0.0228848594872634,25068.7464988535,0.999782676497924
"beta_random_walk_steps[7]",0.0685586533962996,0.000256909001888294,0.039891646761675,-0.0096397184039687,0.0418960517730177,0.068607730214877,0.0952408596587603,0.146812469667922,24110.4483098302,0.999470189592639
"beta_random_walk_steps[8]",0.346035928524221,0.000265407651199579,0.0399248513984252,0.26857519726399,0.318691805864746,0.345789272302551,0.373161429005101,0.425551123769284,22628.70701875,0.999526266420555
"beta_random_walk_steps[9]",-0.0311209983767928,0.00025046761318353,0.0378948579209375,-0.104964148111564,-0.05687158154825,-0.0311950033392559,-0.00552547955099388,0.0434092486533873,22890.6124074959,0.999678724605768
"beta_random_walk_steps[10]",0.0526481678054191,0.000237467100843966,0.0362507823203317,-0.0184533864122303,0.0280418477667561,0.0530427706965778,0.0774376172094908,0.12245747641636,23303.8602166679,0.999897091393676
"beta_random_walk_steps[11]",-0.0345325874084966,0.000215631309854118,0.034679407185151,-0.103303550009217,-0.0579117088683193,-0.0343017667388002,-0.0112709289931825,0.0335659602253352,25865.4291156401,0.999663861338222
"beta_random_walk_steps[12]",-0.00131052915860014,0.000209374398156734,0.0334040670157044,-0.0667876711128974,-0.0237198593922651,-0.00131126994698749,0.021190751847836,0.0639357492312437,25453.7363036868,0.999793288902802
"beta_random_walk_steps[13]",0.0777823576137272,0.000210697756825883,0.0321667064208216,0.0142307001858368,0.0561406111458011,0.0779965597841529,0.0995397970794334,0.140235746983738,23307.3751650677,0.999814626179291
"beta_random_walk_steps[14]",-0.12511048554102,0.000202633518833247,0.0313541793434402,-0.186145803754713,-0.146266999426971,-0.12524758206622,-0.104118297270148,-0.0631464978155751,23942.4342700731,0.999373079356615
"beta_random_walk_steps[15]",0.0853327618460827,0.000195633833067566,0.0300066678954118,0.0266049399644599,0.065356901137937,0.0853958059311359,0.105439410846151,0.144339058199121,23525.9741229012,0.999601056535351
"beta_random_walk_steps[16]",0.486035979851882,0.000177283928839919,0.0275815288395666,0.431807940634945,0.467581032022053,0.486052869110844,0.504703749052177,0.540224131008877,24204.6014166359,0.9997886186879
"beta_random_walk_steps[17]",-0.469669251557728,0.000168886049736343,0.0249843456365213,-0.518194351544997,-0.486702553267348,-0.46989214790627,-0.453087050668805,-0.420486387972086,21885.0933519092,0.999711335324597
"beta_random_walk_steps[18]",-0.209278046822045,0.000159971645159521,0.0242851500267363,-0.256846610326358,-0.225705985514771,-0.209269551656811,-0.192843401481523,-0.161849309739678,23046.0000899285,0.999699880770974
"beta_random_walk_steps[19]",0.513319359329805,0.00015529323956533,0.0239628519363768,0.466048726632074,0.497346122077106,0.513457001340924,0.529476428419444,0.559975816147462,23810.6860576844,0.999529111710399
"beta_random_walk_steps[20]",0.153972518570898,0.000148746663592367,0.022904852243464,0.109568764604175,0.138447567343847,0.154090172610015,0.169182759651599,0.199271230087395,23711.5815754366,0.999351628257031
"beta_random_walk_steps[21]",-0.223570632171608,0.000146966188017231,0.0215302812095571,-0.265817414527827,-0.238076469625158,-0.223745025011459,-0.208968256838996,-0.180730144539715,21461.7210166509,0.999763388714815
"beta_random_walk_steps[22]",-0.287331079075989,0.000136421422218529,0.020718251864466,-0.327511539866691,-0.301301251600242,-0.287355445833507,-0.273414340656805,-0.247121344772767,23064.3420976457,0.9997534497739
"beta_random_walk_steps[23]",0.190846083261508,0.000127054537630998,0.0205128185543588,0.150872805574337,0.176915889013804,0.190876234208922,0.204702725032441,0.230906884694897,26065.7554788626,0.999654500928775
"beta_random_walk_steps[24]",-0.255456991759534,0.000122410195254048,0.020484342479179,-0.296325504073555,-0.269201219946882,-0.255460424455612,-0.241597424134201,-0.215402232961484,28003.2782104673,0.999695881251897
"beta_random_walk_steps[25]",0.0687403920150243,0.00012744038926539,0.0200418370822016,0.0297185980700646,0.0552323049670448,0.0685488407695061,0.0821983888690322,0.107962946493897,24732.0933056124,0.999601400749242
"beta_random_walk_steps[26]",0.0186162235412016,0.000124290140835191,0.0198824081014558,-0.0198413329179461,0.00531429085191023,0.0185498435809742,0.0320411820285442,0.0577273771693689,25589.6654020533,0.999551479257617
"beta_random_walk_steps[27]",-0.437387823537965,0.000122809857060082,0.0197992756525922,-0.47608733611725,-0.450587323153719,-0.437417588196244,-0.423929949188793,-0.398870197191436,25991.5483890772,0.999560069639653
"beta_random_walk_steps[28]",-0.0086157276869322,0.000132313443346077,0.0202038453541951,-0.0485108449047978,-0.022091342824789,-0.00864896758027826,0.00479347205360027,0.0312204216472884,23316.3264825624,0.999604754743692
