"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sqrtQ",0.260943859856206,0.000122537176620987,0.0195242352643439,0.225903952055022,0.247330536870213,0.259918902376597,0.273374819199663,0.302350024629006,25387.0550846071,0.999425149964775
"susc_scaling",0.472496788030283,0.00121795177262846,0.127620761405238,0.270070537195163,0.381423495031021,0.45605734688787,0.547333993265284,0.772368953477114,10979.4978767688,1.00030719287361
"betas[1]",-0.105984092264666,9.65809363373145e-05,0.0132421927016206,-0.1321656421373,-0.114860449839461,-0.105971757088921,-0.0970480537578499,-0.080182568712796,18799.096792099,0.999686678639841
"beta_random_walk_steps[1]",-0.0691341631401353,0.00164741498060757,0.260261922532184,-0.581431906277268,-0.246051515288765,-0.0696354036197709,0.104760447522706,0.439015283679165,24958.314062772,0.999587271605507
"beta_random_walk_steps[2]",-0.153199355242023,0.000161681058276911,0.0276774985929253,-0.208254707562164,-0.17163819504422,-0.153015622297082,-0.13456243700837,-0.0989232060122568,29304.5723765472,0.999530741399492
"beta_random_walk_steps[3]",0.119526539710265,0.000174883595139803,0.0296802974585813,0.0608509552214851,0.0995102407937689,0.119912916912244,0.139355163228922,0.178159232914949,28803.0416934064,0.9996609776345
"beta_random_walk_steps[4]",-0.00881262607374778,0.000185728979591846,0.0319241045777336,-0.0716564941815746,-0.0305107817139206,-0.00881998755534916,0.0127121910166219,0.0534869406693117,29544.5993010973,0.999680396237075
"beta_random_walk_steps[5]",0.0570998323795788,0.0001903945503014,0.0335188004592437,-0.00837670796872851,0.0342487777535374,0.0567578965444397,0.0795228973372052,0.123401598859339,30993.30638553,0.99955165657467
"beta_random_walk_steps[6]",-0.0943375703413411,0.000219085946642097,0.0369123317338216,-0.166877263124682,-0.119395874018569,-0.0947818632119734,-0.0693804336859365,-0.021173780875965,28386.6353907543,1.00002361157361
"beta_random_walk_steps[7]",0.0684693612872103,0.000234441441830249,0.0396582266103813,-0.00944329861655488,0.0418556348274248,0.0686128733965224,0.0953285556589239,0.14637801764401,28615.2676741627,0.99973341520363
"beta_random_walk_steps[8]",0.347596728681081,0.000237116274850732,0.0396818274214974,0.270159398545973,0.32132559521847,0.347660303260549,0.374382823261755,0.424565315386479,28006.6136932595,0.999620374715295
"beta_random_walk_steps[9]",-0.0321079927597639,0.000229549630680458,0.0379816499990134,-0.106721134361607,-0.057610567014162,-0.0324551313089206,-0.00649036919238189,0.0434338832747416,27377.5422670903,0.99980142173802
"beta_random_walk_steps[10]",0.0525506920360445,0.000220726276299867,0.0361984633647448,-0.0192967986308618,0.0282573198451425,0.0525454349936934,0.0766286227709067,0.123418887508023,26895.0401269873,0.999850855991356
"beta_random_walk_steps[11]",-0.0338897913541662,0.000204714194781239,0.0341852008746349,-0.100521577065199,-0.0571178106353873,-0.0341098374221316,-0.0108582315889182,0.0339504649180288,27885.6233731055,0.999652000738045
"beta_random_walk_steps[12]",-0.00177851197361535,0.000193412485832448,0.0332246176629217,-0.0667820533581363,-0.0239963813935243,-0.00153207065383707,0.0205218471901963,0.0625953926652998,29508.7606927618,0.99955582719049
"beta_random_walk_steps[13]",0.0788963806856604,0.000187189946481562,0.0319972117519603,0.0166339701414656,0.0572388969126817,0.0789277949228343,0.101102310213503,0.141717515547165,29218.5883967978,0.999436553463161
