"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sqrtQ",0.254656514879166,0.0001207444801488,0.0193148071313109,0.220445838312452,0.241200507238813,0.253540166727915,0.266909683040059,0.29629382200735,25588.5796205927,0.999642622971601
"susc_scaling",0.821637710240861,0.00116797915337782,0.119037482937714,0.562706270292661,0.740846027495058,0.837917832748956,0.919814097212815,0.991567623563198,10387.1711471683,1.00084253128454
"betas[1]",0.0190230016428021,0.00182777005225097,0.0768244925188026,-0.133347948022342,-0.0323518289979435,0.0190164555154665,0.0698772301161756,0.168998970367001,1766.67346391785,1.01204768134756
"betas[2]",-0.164465151341595,0.00211274927514977,0.0981471546506455,-0.356169974745117,-0.230458746576935,-0.163973526868281,-0.0987704817819174,0.0268383562310452,2158.04007110721,1.0064663383893
"betas[3]",0.0514099373958541,0.00265675369716551,0.112191056701517,-0.169799945390873,-0.023374694333301,0.0521028519048053,0.126240421515906,0.269284010877888,1783.25680456749,1.00378267816869
"betas[4]",0.0930459177005073,0.00278190274947834,0.0916668599828833,-0.0826793474519767,0.0310280461690773,0.0925066376627594,0.154677001533118,0.273787346799598,1085.7774619089,1.018154138245
"betas[5]",-0.111249498306866,0.00281778952335916,0.0965849138085916,-0.304372123090181,-0.174791540827921,-0.111811107683859,-0.0464299395490554,0.0779124707730221,1174.90159404253,1.01376120859142
"betas[6]",-0.0209718888972721,0.00285768836161559,0.116657202912629,-0.247022710369203,-0.099650943273683,-0.0220083721745813,0.0581373458257356,0.206561156710329,1666.45421493962,1.00725843033901
"betas[7]",-0.00163553276448934,4.74452833687043e-05,0.00819770015436357,-0.0177211901136326,-0.00719937787289504,-0.00158057638008104,0.00379262513214697,0.014533966032426,29853.6865559308,0.999656777856636
"betas[8]",0.0293345158635699,5.23443611417261e-05,0.00728172385523194,0.0150032322911859,0.0244557729020224,0.0293543982583375,0.034224144506321,0.04364699269533,19352.1224358885,0.999679505479952
"betas[9]",-0.299545953175617,9.78014110696307e-05,0.0126007567175717,-0.324049242974656,-0.307963594001802,-0.299663910411145,-0.291266213375679,-0.274908190226122,16599.8059757696,0.999713513958115
"betas[10]",0.00415731444259279,2.17304949256701e-05,0.00374047991012822,-0.00326211857103957,0.00163069148619123,0.00416100310958006,0.00665251363380502,0.0115622882957837,29628.8924485165,0.999450230551627
"betas[11]",0.235924983405488,0.0001254841578878,0.0174469857993085,0.201751219615576,0.224229300439066,0.235930351515971,0.247645759064668,0.270215447950659,19331.3869544868,1.00006766295935
"betas[12]",0.43806181397672,0.000225036643983931,0.0294756831269181,0.381209307822409,0.41810991123174,0.437900079547878,0.457824694548474,0.496132622666159,17156.2068240241,1.00037431822984
"betas[13]",0.578909533739474,0.000377170008316684,0.0484614245519947,0.483699631354647,0.546476817277598,0.57856632847217,0.611023085537992,0.675054892591055,16508.89669633,0.999956560731776
"betas[14]",-0.0126331661826118,0.00192764075101626,0.0678935012829734,-0.14548165407818,-0.0590177118535752,-0.0117544976300181,0.0338110914073839,0.118537262705295,1240.52126715091,1.01423342132191
"betas[15]",-0.0578828972132041,0.00271078484368074,0.0947887798902162,-0.24335455089549,-0.122523020375762,-0.0564332474889619,0.00665006935958044,0.125519935188157,1222.71085741862,1.01445409241626
"betas[16]",-0.100432994319012,8.22241495678145e-05,0.0110933603633657,-0.122217551319173,-0.10788373152557,-0.100455591846443,-0.0931169818930086,-0.0786869234931213,18202.350028553,1.00013878301292
"beta_random_walk_steps[1]",0.126951159338718,0.00188991182085707,0.159122289632069,-0.125593400667072,0.00998100623027504,0.105040093558856,0.223195476313382,0.490807017307567,7088.90172593839,1.00276351501651
"beta_random_walk_steps[2]",-0.210611620427962,0.000167657322785852,0.0275771726537355,-0.264887003081663,-0.229024134144202,-0.210586225677617,-0.192170128093683,-0.156491921133307,27055.4288640432,0.999440695354488
"beta_random_walk_steps[3]",0.0458446973875373,0.000201991108576202,0.0295320082909896,-0.0128401875909974,0.0261013598829893,0.0455969042304565,0.0658047062218716,0.103901040611568,21375.7547448906,0.999652209361041
"beta_random_walk_steps[4]",-0.0713381862773427,0.000208941902810078,0.0319633565971649,-0.133144672688073,-0.0928697817857493,-0.0713886525510306,-0.050098497366837,-0.00748231390233671,23402.0374002561,0.99938460293656
"beta_random_walk_steps[5]",-0.00574644265430343,0.000228069059889041,0.0334909578267878,-0.070850931237554,-0.0284326914044369,-0.00562043857623021,0.0167013072110026,0.0598900908026336,21563.6558470816,0.999835373975797
"beta_random_walk_steps[6]",-0.179367240782233,0.000255448100037701,0.0363786942878732,-0.250318046420177,-0.203840581054389,-0.179160066299159,-0.155141419647021,-0.108374064642508,20280.9764487598,0.99963265748177
"beta_random_walk_steps[7]",0.006981522485171,0.000267263252696211,0.0391517904841345,-0.0698943829806753,-0.0192080650040191,0.00700092809692025,0.033300912358884,0.0845528211084489,21459.7548604046,0.999719825092613
"beta_random_walk_steps[8]",0.298041595837999,0.000270599891456828,0.0396763391984885,0.22206284901255,0.271318125936311,0.297664783763882,0.324633849233171,0.375797266277809,21498.4897797834,0.999547073062854
"beta_random_walk_steps[9]",-0.107907936735299,0.000260799167972328,0.0381373361262153,-0.182424900876085,-0.133782998296694,-0.107888473344855,-0.0822340889803815,-0.0324402423773065,21383.9684983593,0.999705310215131
"beta_random_walk_steps[10]",-0.0183853052647572,0.000253935418344651,0.0358415709038276,-0.0893012831732477,-0.0424635270591117,-0.018436294193168,0.00557269532629778,0.0523542021828365,19921.7512592059,0.999611197963987
"beta_random_walk_steps[11]",-0.07636621161262,0.00022211122894553,0.0339446580907347,-0.142150707009572,-0.0995302158937391,-0.0761891865281649,-0.0533814437346634,-0.0101369546383161,23356.1817968324,0.999879049160784
"beta_random_walk_steps[12]",-0.0445980446107976,0.000219140769902261,0.0327377815591331,-0.108070393128342,-0.0667117138137979,-0.0445621615554375,-0.0223227542368418,0.0187330960382105,22317.8383135345,0.999702300368261
"beta_random_walk_steps[13]",0.0410031790481773,0.000215103831238888,0.0315680699001905,-0.0205398047893808,0.0197345637282734,0.0412122476036776,0.0621601095558606,0.103133963913813,21537.7220342069,0.999693137656258
"beta_random_walk_steps[14]",-0.138278994937441,0.000202328392665176,0.0303052346839587,-0.197607709088227,-0.158599117478659,-0.138303709147171,-0.118374454358784,-0.0783067363012967,22434.7709659848,0.999736142037633
"beta_random_walk_steps[15]",0.0787966382962459,0.000197833982849224,0.0296748452788245,0.0203027191754447,0.0588607094926304,0.0787079327938597,0.0987421986419705,0.137186833793979,22499.6176377524,0.99963688844749
"beta_random_walk_steps[16]",0.468775432483062,0.00017740691878789,0.0270426910036142,0.415627624468914,0.450376949294352,0.468933908815819,0.487106823539816,0.521406941729658,23235.8575562888,0.999574974989821
"beta_random_walk_steps[17]",-0.523253380767569,0.00016497813868592,0.0244512963506908,-0.57095418184908,-0.53976501110301,-0.523074315884274,-0.506950364137139,-0.474796849572626,21966.0000215907,0.999733986074451
"beta_random_walk_steps[18]",-0.271558675137023,0.000159346083330254,0.0242489745127711,-0.3183324044416,-0.288256659152961,-0.271642316955861,-0.255057850610306,-0.224379477143147,23158.1556097395,0.999679720377748
"beta_random_walk_steps[19]",0.495004947527579,0.000156006692374582,0.0233822685021563,0.449633987557679,0.478951760140471,0.494893742052105,0.511314782821263,0.540318900704251,22463.9864410057,1.0000626957753
"beta_random_walk_steps[20]",0.182374137014076,0.000151134466304713,0.022340219450531,0.139131103145606,0.167203808379012,0.182445516190636,0.197026347167511,0.226467274723022,21849.8186302148,1.00001217171097
"beta_random_walk_steps[21]",-0.203762341386609,0.000138924161054879,0.0207719451817,-0.244495312132119,-0.21788463621452,-0.203842254965216,-0.189576694614632,-0.163725323381377,22356.2403464094,0.999839750187366
"beta_random_walk_steps[22]",-0.272372107162651,0.000131592687640839,0.0200808030182675,-0.311801571777711,-0.286043692536485,-0.272362014283799,-0.258754549108327,-0.233135215418479,23286.2007890083,0.999876438882254
"beta_random_walk_steps[23]",0.219404549965994,0.000129735695637553,0.0198093328025726,0.180563431924193,0.206196362866948,0.219291128558542,0.232741599496661,0.258516620091999,23314.2112330364,0.999653034928653
"beta_random_walk_steps[24]",-0.199455523358419,0.000129411057437469,0.0198233796412371,-0.237994836833744,-0.212665192142672,-0.199558895557557,-0.186315088585005,-0.160015212773376,23464.5713418377,0.99985167093805
"beta_random_walk_steps[25]",0.121668322755009,0.000134774447065715,0.0198515461869268,0.0823719654388851,0.108239450724191,0.12184557741548,0.135243833419508,0.159921285150467,21695.6946343174,0.999994698869488
"beta_random_walk_steps[26]",0.111236224958465,0.000128426773498592,0.0196196113968567,0.0730825097027168,0.0978796731079362,0.111300589485576,0.124679691019193,0.14907139715429,23338.3236721289,0.999579832697416
"beta_random_walk_steps[27]",-0.336404659625415,0.000131432609665445,0.0198850052485959,-0.375361087931088,-0.349692140883294,-0.336478905475883,-0.3231364444481,-0.297616413448145,22889.966529573,0.999807301306953
"beta_random_walk_steps[28]",0.00759264415210854,0.000132824687992858,0.0195586589151082,-0.0302930177836365,-0.00560033741774415,0.00750093806411273,0.0208359978500664,0.0457910980400195,21683.0582887011,0.999786942753449
"beta_random_walk_steps[29]",0.225758505113112,0.000137145065861789,0.0201692134076281,0.186622162690991,0.212061992079935,0.225760516820629,0.239306011308458,0.265889466328029,21628.059100032,0.999692309392302
"beta_random_walk_steps[30]",0.215905427370718,0.000131630276110708,0.020108442331542,0.176572437018503,0.202358949127301,0.215776477014987,0.229319582145967,0.255022118167324,23337.0133888842,0.999636709351874
"beta_random_walk_steps[31]",0.0936759319599971,0.000130097204073554,0.0196154517102593,0.0553217376117855,0.0803184889482195,0.0936339840346716,0.107065045585424,0.13141596705457,22733.2067054833,0.999731942957274
"beta_random_walk_steps[32]",-0.100637397892857,0.000134438130462667,0.0199717314400304,-0.139994460234607,-0.113959649854846,-0.100398503957201,-0.0872153058187133,-0.0618047112746868,22069.1957145441,0.999679575973313
"beta_random_walk_steps[33]",0.537681731777744,0.000155020501801246,0.0218143084966838,0.494805718799788,0.523192862420016,0.537608345044528,0.552399400920807,0.580447396689767,19801.7979347509,0.999929955378404
"beta_random_walk_steps[34]",-0.437232134010508,0.000124436914890062,0.019646398381596,-0.475910470470435,-0.450251698054619,-0.437284480332523,-0.424001084409767,-0.398175026136218,24926.8512405148,0.999665572794148
"beta_random_walk_steps[35]",-0.304825837707326,0.000130120900380399,0.0191102194951593,-0.342566951625304,-0.317510682732971,-0.304792473846828,-0.292131307271368,-0.266796979276787,21569.3586108934,0.999997236726629
"beta_random_walk_steps[36]",-0.0294988865122649,0.000125457826257365,0.0189203377319446,-0.0671351036752376,-0.0422616980519946,-0.0295301480710782,-0.0165249985258721,0.00724517505106219,22743.7593683418,0.999860664480151
"beta_random_walk_steps[37]",-0.118446999613908,0.000126117290132033,0.0190786519519411,-0.15614765169128,-0.131414179760152,-0.118464072100804,-0.105549205620014,-0.0816219205942413,22884.7466886077,0.99945772754034
"beta_random_walk_steps[38]",0.0255721455468064,0.000129568413883819,0.0195360285541953,-0.0124320104205516,0.0122365581994209,0.0255221799572774,0.0389254103966903,0.0636051349193204,22733.9174149874,0.999661883346538
"beta_random_walk_steps[39]",-0.0813992425130865,0.000127248606753723,0.0196434920857085,-0.119663600678408,-0.0946072805717308,-0.081533515090841,-0.0683799935721557,-0.0421841152156384,23830.3993630471,0.9997231206451
"beta_random_walk_steps[40]",0.208316284065839,0.000126847347681412,0.0197282409606436,0.169756700141479,0.194984216803112,0.208257455829428,0.221494150530569,0.247136401568725,24188.778965069,0.99972733043425
"beta_random_walk_steps[41]",-0.204409881941274,0.000136670910160597,0.0202946000172741,-0.24400644022998,-0.218222839691595,-0.204281482371063,-0.190735057382146,-0.165127130890389,22050.0114528015,0.999698672745998
"beta_random_walk_steps[42]",-0.173281224657744,0.000145372630833425,0.021446669359384,-0.214935649487322,-0.188027474528208,-0.173139213120276,-0.158751580989151,-0.131263051004225,21764.786569642,0.999706848901906
"beta_random_walk_steps[43]",0.246836867692275,0.000140042543782199,0.0217665849070668,0.204582116705582,0.232173192021864,0.24680906401052,0.261591981767602,0.289788483959819,24157.9795245845,0.999333784005594
"beta_random_walk_steps[44]",-0.0908622733886094,0.000147831144455547,0.0223827087532199,-0.135062115090179,-0.106026331432413,-0.0908790964569414,-0.0758932274998399,-0.0469136422739755,22924.1588488474,0.999342124545065
"beta_random_walk_steps[45]",-0.0236107122443118,0.000153929648661435,0.022806442401931,-0.0680684300027134,-0.0390897752673202,-0.0235697983189969,-0.00822554173452418,0.0210643980473151,21951.8199983905,0.999735856448506
"beta_random_walk_steps[46]",-0.258177397086622,0.000161650212063105,0.0238531148142849,-0.304628438998837,-0.274365497221572,-0.258140004543077,-0.242140978278838,-0.211189700988242,21773.9709844988,1.00034018553867
"beta_random_walk_steps[47]",0.0660102400563985,0.000177596284283342,0.0259900003444066,0.0152654196696616,0.0484223185024779,0.065961802008811,0.0837137568603248,0.116393424844809,21416.3186628466,0.999839501917404
"beta_random_walk_steps[48]",-0.110508771380889,0.000171762200031266,0.0274164652166864,-0.165148651825257,-0.128965211486985,-0.110391295804299,-0.091921387800056,-0.0568091124037371,25478.1407988172,0.999566405015378
"beta_random_walk_steps[49]",0.0508124189814578,0.000297156075953466,0.0380986112817436,-0.0230411746354481,0.0248009089961557,0.0508045336562496,0.0763791557666933,0.125259805995683,16438.0032470245,0.999753903305665
"beta_random_walk_steps[50]",-0.0802247815006254,0.000185612373297923,0.0294956694261619,-0.137318610856217,-0.100436420471146,-0.080337203483746,-0.0604423235197877,-0.0220418394942582,25252.4004033855,0.999707054460415
"beta_random_walk_steps[51]",0.132006682076101,0.00019026101564579,0.0288901092685665,0.0758530452051932,0.112382391933868,0.131941923647366,0.151484437127321,0.189001535561925,23056.7848671806,0.999739707264286
"beta_random_walk_steps[52]",-0.0499006996305985,0.000184788412119744,0.0287937526364629,-0.105571601817317,-0.0690367352595199,-0.0500861263113746,-0.0310219330475943,0.00741473424295676,24279.909940763,0.999431335005686
"beta_random_walk_steps[53]",-0.000580350998623644,0.000190336261788356,0.0290886600889247,-0.0574690276989243,-0.0202776590634904,-0.000272057132990264,0.0189832108846224,0.0565745743825016,23356.3170853679,0.999681577032478
"beta_random_walk_steps[54]",0.242840892673801,0.000183539289597205,0.0278875787946141,0.188346414707732,0.224215270349602,0.242618850067947,0.261942449558238,0.297742425485851,23086.7886899971,0.999652170315939
"beta_random_walk_steps[55]",0.0846723850441232,0.000181726122334542,0.0260769388767001,0.033191462918806,0.0667710684101291,0.0846749724466921,0.102374573909697,0.135752069211375,20591.0502577973,0.99964095386202
"beta_random_walk_steps[56]",-0.0995662021395103,0.000160401081232717,0.0236741531188536,-0.146352660011469,-0.115391543364396,-0.0995396182927321,-0.0833840484383061,-0.0537111505654842,21783.8341311857,0.999934474482681
"beta_random_walk_steps[57]",-0.192286804861447,0.000150908942293163,0.0220429722152176,-0.236013682133774,-0.207232691955416,-0.192153471182186,-0.177410628493172,-0.148997224264926,21335.8699786517,0.99966926906955
"beta_random_walk_steps[58]",0.195030762193935,0.000141548810907653,0.0209528316412318,0.154091879085772,0.181069406561437,0.194974167613026,0.209019000579519,0.236389600799606,21911.5447437683,0.99978847224193
"beta_random_walk_steps[59]",0.0443437301112541,0.000129820238742838,0.0200560990040897,0.005146684017383,0.0307432665125502,0.0444527767868604,0.0578012185183318,0.0831726620120687,23867.5654752828,0.999606417732752
"beta_random_walk_steps[60]",-0.209759564959281,0.000127123789205048,0.0194528173464297,-0.24730777528078,-0.223154701801422,-0.209684745395913,-0.196664350624181,-0.172201328890406,23415.927186083,0.99975454617285
"beta_random_walk_steps[61]",0.150601820870706,0.00012261201001615,0.0188849929267835,0.113881561918598,0.137772881660445,0.15049910539883,0.163467244282464,0.187598211209447,23722.8918513375,0.999651644234601
"beta_random_walk_steps[62]",-0.834068032344891,0.000122057020792705,0.0189366113458751,-0.870679674737743,-0.847044394748875,-0.834081775573229,-0.821269347884941,-0.797070867351464,24070.1613196743,0.99959693923387
"beta_random_walk_steps[63]",0.0852166188875882,0.000125111207176464,0.0194149436665756,0.0472013407983169,0.0718960477290827,0.0853520400411576,0.0981580114957367,0.122901441212204,24081.295139363,0.999350908058991
"beta_random_walk_steps[64]",0.362196392721706,0.000123219741317885,0.0193090118033561,0.324361101105497,0.349113611669418,0.362176162772322,0.37528984207643,0.399692350451961,24556.1066333811,0.999505803466064
"beta_random_walk_steps[65]",-0.0215020383742753,0.000122918603421513,0.0191592287632463,-0.0588861388072243,-0.0344732907349278,-0.0215184113248148,-0.00855035977017039,0.0159912447290436,24295.218624067,0.999715794964993
"beta_random_walk_steps[66]",0.0373688208906918,0.000123186455676772,0.0191623996667601,-0.000437495321816666,0.0246084538881473,0.0372809863397663,0.0501941951328546,0.0749507136348876,24197.6877429108,0.999848005257489
"beta_random_walk_steps[67]",-0.181032079045144,0.000120017839874766,0.0192438532321386,-0.21901340549036,-0.193997365839884,-0.181101033984585,-0.168118438440734,-0.142954614072864,25709.4307161076,0.999599876928547
"beta_random_walk_steps[68]",0.149104069328565,0.000124166551951396,0.0190976340032097,0.111079424253718,0.136140992535813,0.14910706698764,0.162122874076359,0.186573492655376,23656.4672649438,0.99947344519414
"beta_random_walk_steps[69]",-0.217852850433615,0.00012919622241862,0.0192830929702034,-0.255802467696156,-0.231003928731238,-0.21750632130954,-0.204594731718686,-0.180289004480171,22276.8489114933,0.999588988554365
"beta_random_walk_steps[70]",-0.0493457682634067,0.000132645783206044,0.019440296371595,-0.0869869253472575,-0.0624960160744451,-0.0493802255662111,-0.0362705071175622,-0.0111129925282204,21479.2378100459,0.999959157219726
"beta_random_walk_steps[71]",0.337974858767045,0.000128109284270048,0.0191676718189122,0.301000253036528,0.324901098102622,0.337976527940776,0.350808580035724,0.375363185657751,22386.0526174518,0.999925767647074
"beta_random_walk_steps[72]",-0.223942668893285,0.000126971231535586,0.0194457075821359,-0.262592284926768,-0.237182938047813,-0.223793085594327,-0.210594081605444,-0.185757984764118,23455.0756185158,0.999739390021514
"beta_random_walk_steps[73]",0.152697584820387,0.000126844759347938,0.0191667800677834,0.115134761305709,0.139818736028046,0.152560577725806,0.16562195677176,0.190130674965644,22832.4892220452,0.999825331563931
"beta_random_walk_steps[74]",0.122117993428682,0.000125322411387356,0.0189830477348953,0.0851485037338729,0.109306874210656,0.122087466895702,0.135079264801141,0.158855517461988,22944.2778976638,0.999958067792218
"beta_random_walk_steps[75]",-0.192158913500427,0.000125375363083227,0.0190196251633024,-0.229446203423833,-0.204892931652671,-0.192367666517672,-0.179310691885789,-0.154418599553983,23013.3318421752,1.00005086521109
"beta_random_walk_steps[76]",-0.141206025520968,0.000124824393404464,0.0188337197153578,-0.177824145170419,-0.154088729124401,-0.141081633516437,-0.128538148833043,-0.104508922210535,22765.2947369052,0.99959748105556
"beta_random_walk_steps[77]",-0.00613978904939455,0.000123237517354748,0.0189955144649553,-0.043287212410746,-0.0189530506163543,-0.00617690242524002,0.00668837560368265,0.0309942482826022,23758.3479781726,0.999582368668321
"beta_random_walk_steps[78]",0.265902044902566,0.000122305732920195,0.0188895063326931,0.22882226408068,0.253069683451891,0.266113460967961,0.278613621858242,0.302869295485652,23853.2514884408,0.999433136047047
"beta_random_walk_steps[79]",-0.0123287210890951,0.000125287643292267,0.018915019364422,-0.0494104348031296,-0.0250773121557212,-0.0120460388171945,0.000274592734495455,0.0249708905961365,22792.7695930721,0.999649955507187
"beta_random_walk_steps[80]",-0.0903009096764636,0.000116274936880579,0.0186958824574093,-0.126907185468363,-0.102987998923095,-0.0901601796820166,-0.077433623616232,-0.054008852560485,25853.521884751,1.00016904395782
"beta_random_walk_steps[81]",0.135005876297145,0.000119102532612014,0.0186765413943731,0.0982347874826356,0.122186475766547,0.13486193278802,0.147615465222919,0.171943729706083,24589.5689962316,0.999797489404769
"beta_random_walk_steps[82]",-0.0580825849457012,0.000124344172364106,0.0188714546047983,-0.0944753113984761,-0.071006766760816,-0.058177782442883,-0.0452993475476443,-0.0209618909766423,23033.4971495407,0.999951419392995
"beta_random_walk_steps[83]",0.402171705429605,0.000118898400542388,0.0193255508482575,0.364428113120453,0.389109174366599,0.401954794391223,0.414849165959613,0.440691691584031,26418.7179724524,0.999689281497301
"beta_random_walk_steps[84]",-0.00457659080176056,0.00015713503887727,0.0237627256706068,-0.0517627251915394,-0.0204170303882209,-0.00450343956016362,0.0114475939502892,0.0414175265562182,22868.9610061491,0.999667430760627
